22_M139-15_IntMac	23_M139-15_AlvMac	26_M163-10_IntMac	27_M163-10_AlvMac	30_M59-16_IntMac	31_M59-16_AlvMac
MTR	8.1293227401759	10.1761733793057	7.854874802746	9.68833176666998	7.89120124903839	9.75205572702697
ACTN2	4.65810559688312	7.19627417217599	4.23360552319733	6.96476295249173	3.1699718118867	7.72456191686203
ENSMMUG00000043556	0	0	0	0	0	0
HEATR1	8.58903082193098	9.79212466451927	8.19873515647019	9.58247052238347	8.16609395088664	10.0682701566263
LGALS8	9.63626764525521	10.4559642339197	10.4985958334286	10.9900077343399	9.6362007126316	10.6168102667826
EDARADD	3.37173256409507	2.97537082952675	3.22396278352496	3.36851762504795	3.32244468252343	3.0878001990399
ERO1B	8.17627847942233	7.92776782137067	8.13441940478365	7.37288087883059	8.04213861306033	7.48087059478235
ENSMMUG00000056299	0.520328715918878	0.655557501271534	0.522548427956507	0.7293409859092	0.521887754571998	0.686471983967776
GPR137B	10.4559914921601	10.4682058623128	10.1814630401435	10.7408112690912	10.1866033462951	10.9506492337522
NID1	4.55510523566939	8.63144931810281	3.66101522492737	7.27830197646419	4.01825654377709	8.69340476063149
LYST	10.1788321268523	9.57816600982697	10.1476323693476	9.01579907194859	9.89022872069486	9.33129920542747
GNG4	0	0	0	0	0	0
B3GALNT2	7.8831756703094	7.52142366757173	7.52675882301555	7.65611077904395	7.60985074519148	7.46692866346765
TBCE	8.48691650624	8.62779623304902	8.42161156429623	8.81839521726239	8.7528062245592	8.6230602798674
ENSMMUG00000053318	-1.12402008123351	-1.03699208762228	-1.117780225264	-1.0716796984963	-1.11969538949945	-1.1205997443214
GGPS1	9.17054879834982	9.03028651407095	9.04996914767402	8.91567694630266	9.00744253123501	9.21419079847951
ARID4B	9.98219256875002	9.50442457594894	10.1422388334149	9.2827081815132	10.3663675178292	9.54201987000786
RBM34	8.01858855583009	8.22732088244738	8.53068950606512	8.30006515324288	8.41398567969181	8.27514739995167
TOMM20	10.0990182135206	10.207163358084	10.0823294658168	10.2964399307827	10.1570224243647	10.2316119429551
IRF2BP2	9.7468671235101	9.13882714430868	10.0187100354938	8.82579117516347	9.95527805744449	9.02603403498494
